"STRT_ID";"STREET";"BLD_ID";"BLD";"KORP"
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"9400743";"д.56";"А"
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"9403474";"д.56";""
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"9390676";"д.67";""
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"9391913";"д.63";""
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"9381564";"д.66";""
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"9365371";"д.84";""
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"9437592";"д.51";""
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"9406434";"д.47";""
"3189157";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Труда ул., ";"10220862";"д.18";""
"3189157";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Труда ул., ";"10223715";"д.9";""
"3189157";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Труда ул., ";"10223717";"д.19";""
"3189157";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Труда ул., ";"10223716";"д.12";""
"3189153";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Садовая ул., ";"9419362";"д.35";""
"3189153";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Садовая ул., ";"9376499";"д.30";""
"3189142";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Лесная ул., ";"9403929";"д.42";""
"3189142";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Лесная ул., ";"9375735";"д.26";""
"3189142";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Лесная ул., ";"9376355";"д.4";""
"3189142";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Лесная ул., ";"9375539";"д.37а";""
"3189142";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Лесная ул., ";"9398864";"д.20";""
"3189142";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Лесная ул., ";"9365382";"д.22";""
"3189142";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Лесная ул., ";"10214300";"д.20А";""
"3189142";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Лесная ул., ";"10217350";"д.3";""
"3189142";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Лесная ул., ";"9442173";"д.30";""
"3189142";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Лесная ул., ";"9423541";"д.18";""
"3189142";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Лесная ул., ";"9392737";"д.45";""
"3189142";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Лесная ул., ";"9365383";"д.27";""
"3189142";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Лесная ул., ";"9370864";"д.38";""
"3189142";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Лесная ул., ";"9397004";"д.40";""
"3189142";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Лесная ул., ";"9398301";"д.41";""
"3189142";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Лесная ул., ";"9375771";"д.13";""
"3189140";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Комсомольская ул., ";"12248217";"д.22";""
"3189140";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Комсомольская ул., ";"13324238";"д.37";""
"3189140";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Комсомольская ул., ";"10241531";"";"А"
"3189140";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Комсомольская ул., ";"9365517";"д.51";""
"3189140";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Комсомольская ул., ";"9446716";"д.11А";""
"3189140";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Комсомольская ул., ";"9366980";"д.34";""
"3189140";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Комсомольская ул., ";"10241533";"д.2а";""
"3189140";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Комсомольская ул., ";"10237663";"д.10";""
"3189140";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Комсомольская ул., ";"9442271";"д.16";""
"3189140";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Комсомольская ул., ";"9375790";"д.8";""
"3189140";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Комсомольская ул., ";"9440954";"д.44";""
"3189140";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Комсомольская ул., ";"9404637";"д.6";""
"3189140";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Комсомольская ул., ";"9382090";"д.26";""
"3189140";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Комсомольская ул., ";"9375770";"д.30";""
"3189140";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Комсомольская ул., ";"9398861";"д.11";""
"3189140";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Комсомольская ул., ";"9447144";"д.49";""
"3189140";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Комсомольская ул., ";"9366174";"д.2";""
"3189140";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Комсомольская ул., ";"9392066";"д.5";""
"3189140";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Комсомольская ул., ";"9376354";"д.48";""
"3189140";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Комсомольская ул., ";"9366326";"д.19";""
"3189140";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Комсомольская ул., ";"9398581";"д.20";""
